keyword,region,date,value,source
toyota peru,PE,2024-05-12,61,pytrends
toyota corolla,PE,2024-05-12,48,pytrends
toyota peru,PE,2024-01-01,71,pytrends
toyota peru,PE,2024-02-01,76,pytrends
toyota peru,PE,2024-03-01,62,pytrends
toyota peru,PE,2024-04-01,64,pytrends
toyota peru,PE,2024-05-01,80,pytrends
toyota peru,PE,2024-06-01,64,pytrends
toyota peru,PE,2024-07-01,68,pytrends
toyota peru,PE,2024-08-01,77,pytrends
toyota peru,PE,2024-09-01,75,pytrends
toyota peru,PE,2024-10-01,75,pytrends
toyota peru,PE,2024-11-01,62,pytrends
toyota peru,PE,2024-12-01,80,pytrends
toyota corolla,PE,2024-01-01,50,pytrends
toyota corolla,PE,2024-02-01,62,pytrends
toyota corolla,PE,2024-03-01,59,pytrends
toyota corolla,PE,2024-04-01,64,pytrends
toyota corolla,PE,2024-05-01,75,pytrends
toyota corolla,PE,2024-06-01,57,pytrends
toyota corolla,PE,2024-07-01,59,pytrends
toyota corolla,PE,2024-08-01,56,pytrends
toyota corolla,PE,2024-09-01,53,pytrends
toyota corolla,PE,2024-10-01,61,pytrends
toyota corolla,PE,2024-11-01,60,pytrends
toyota corolla,PE,2024-12-01,51,pytrends
toyota hilux,PE,2024-01-01,44,pytrends
toyota hilux,PE,2024-02-01,42,pytrends
toyota hilux,PE,2024-03-01,43,pytrends
toyota hilux,PE,2024-04-01,44,pytrends
toyota hilux,PE,2024-05-01,33,pytrends
toyota hilux,PE,2024-06-01,37,pytrends
toyota hilux,PE,2024-07-01,49,pytrends
toyota hilux,PE,2024-08-01,43,pytrends
toyota hilux,PE,2024-09-01,36,pytrends
toyota hilux,PE,2024-10-01,35,pytrends
toyota hilux,PE,2024-11-01,38,pytrends
toyota hilux,PE,2024-12-01,43,pytrends
toyota rav4,PE,2024-01-01,28,pytrends
toyota rav4,PE,2024-02-01,28,pytrends
toyota rav4,PE,2024-03-01,39,pytrends
toyota rav4,PE,2024-04-01,44,pytrends
toyota rav4,PE,2024-05-01,25,pytrends
toyota rav4,PE,2024-06-01,27,pytrends
toyota rav4,PE,2024-07-01,29,pytrends
toyota rav4,PE,2024-08-01,38,pytrends
toyota rav4,PE,2024-09-01,29,pytrends
toyota rav4,PE,2024-10-01,28,pytrends
toyota rav4,PE,2024-11-01,27,pytrends
toyota rav4,PE,2024-12-01,41,pytrends

