model_id,price_pen,currency,source,as_of
HILUX,131576,PEN,portal_web,2024-04-01
HILUX,130954,PEN,portal_web,2024-05-01
YARIS,38422,PEN,portal_web,2024-04-01
YARIS,40228,PEN,portal_web,2024-05-01
COROLLA,78114,PEN,portal_web,2024-04-01
COROLLA,78000,PEN,portal_web,2024-05-01
AVANZA,51824,PEN,portal_web,2024-04-01
AVANZA,49451,PEN,portal_web,2024-05-01
RAV4,88986,PEN,portal_web,2024-04-01
RAV4,91312,PEN,portal_web,2024-05-01
ETIOS,36690,PEN,portal_web,2024-04-01
ETIOS,35836,PEN,portal_web,2024-05-01
RUSH,61323,PEN,portal_web,2024-04-01
RUSH,59761,PEN,portal_web,2024-05-01
FORTUNER,121581,PEN,portal_web,2024-04-01
FORTUNER,119298,PEN,portal_web,2024-05-01
RAIZE,48904,PEN,portal_web,2024-04-01
RAIZE,50100,PEN,portal_web,2024-05-01
COROLLA_CROSS,71272,PEN,portal_web,2024-04-01
COROLLA_CROSS,71577,PEN,portal_web,2024-05-01
